:addin:             -> adding
exhalted            -> exalted
exhibtion           -> exhibition
exibition           -> exhibition
exicting            -> exciting
exinct              -> extinct
existance           -> existence
existant            -> existent
existince           -> existence
exliled             -> exiled
exludes             -> excludes
exmaple             -> example
exonorate           -> exonerate
exoskelaton         -> exoskeleton
expalin             -> explain
expatriot           -> expatriate
expeced             -> expected
expecially          -> especially
expeditonary        -> expeditionary
expeiments          -> experiments
expell:             -> expel
experiance          -> experience
expiditions         -> expeditions
expierence          -> experience
expirence           -> experience
explaination        -> explanation
explaning           -> explaining
explicitely         -> explicitly
explictly           -> explicitly
exploititive        -> exploitative
explotation         -> exploitation
expropiated         -> expropriated
expropiation        -> expropriation
exressed            -> expressed
extemely            -> extremely
extention           -> extension
extered             -> exerted
extermist           -> extremist
extradiction        -> extradition
extraterrestial     -> extraterrestrial
extravagent         -> extravagant
extrememly          -> extremely
extremeophile       -> extremophile
extremly            -> extremely
extrordinarily      -> extraordinarily
extrordinary        -> extraordinary
:eyar               -> year
faciliate           -> facilitate
facilites           -> facilities
facillitate         -> facilitate
facinated           -> fascinated
facist              -> fascist
failse              -> false
fales               -> false
familes             -> families
familliar           -> familiar
famoust             -> famous
fanatism            -> fanaticism
farenheit           -> Fahrenheit
fasle               -> false
fatc                -> fact
faught              -> fought
favoutrable         -> favourable
feasable            -> feasible
febuary             -> February
feburary            -> February
fecth               -> fetch
fedreally           -> federally
feild               -> field
femminist           -> feminist
feromone            -> pheromone
fertily             -> fertility
fianite             -> finite
fianlly             -> finally
ficticious          -> fictitious
fictious            -> fictitious
fidn                -> find
fiercly             -> fiercely
filiament           -> filament
fimilies            -> families
finacial            -> financial
finaly              -> finally
financialy          -> financially
firend              -> friend
firts               -> first
fisionable          -> fissionable
fitler              -> filter
flamable            -> flammable
flase               -> false
flawess             -> flawless
:florescent         -> fluorescent
:flourescent        -> fluorescent
flourine            -> fluorine
fluorish            -> flourish
follwo              -> follow
folowing            -> following
fomed               -> formed
fonetic             -> phonetic
fontrier            -> fontier
foootball           -> football
forbad:             -> forbade
forbiden            -> forbidden
foreward            -> foreword
forfiet             -> forfeit
forhead             -> forehead
foriegn             -> foreign
formallize          -> formalize
formelly            -> formerly
formidible          -> formidable
formost             -> foremost
forsaw              -> foresaw
forseeable          -> foreseeable
fortelling          -> foretelling
forunner            -> forerunner
foucs               -> focus
foudn               -> found
fougth              -> fought
foundaries          -> foundries
foundary            -> foundry
fourties            -> forties
fourty              -> forty
fouth               -> fourth
foward              -> forward
fraciton            -> fraction
freind              -> friend
frequecy            -> frequency
frequentily         -> frequently
frome               -> from
fromthe             -> from the
froniter            -> frontier
fucntion            -> function
fufill              -> fulfill
fulfiled            -> fulfilled
fullfill            -> fulfill
fundametal          -> fundamental
funguses            -> fungi
funtion             -> function
furuther            -> further
futher              -> further
galatic             -> galactic
gallaxies           -> galaxies
galvinized          -> galvanized
ganerate            -> generate
:ganes              -> games
ganster             -> gangster
garantee            -> guarantee
garnison            -> garrison
gaurantee           -> guarantee
gaurd               -> guard
gaurentee           -> guarantee
geneological        -> genealogical
geneologies         -> genealogies
geneology           -> genealogy
generaly            -> generally
generatting         -> generating
genialia            -> genitalia
geographicial       -> geographical
geometrician        -> geometer
gerat:              -> great
giit:               -> git
giti:               -> git
glamourous          -> glamorous
glight              -> flight
gnawwed             -> gnawed
godess              -> goddess
goign               -> going
gonig               -> going
gouvener            -> governor
govement            -> government
govenment           -> government
govenrment          -> government
goverance           -> governance
goverment           -> government
governer            -> governor
governmnet          -> government
govorment           -> government
govornment          -> government
gracefull           -> graceful
graet               -> great
grafitti            -> graffiti
gramatically        -> grammatically
grammaticaly        -> grammatically
gratuitious         -> gratuitous
greatful            -> grateful
greif               -> grief
gridles             -> griddles
gropu               -> group
grwo                -> grow
guaratee            -> guarantee
guarentee           -> guarantee
guerrila            -> guerrilla
guidence            -> guidance
gunanine            -> guanine
gurantee            -> guarantee
guttaral            -> guttural
gutteral            -> guttural
habaeus             -> habeas
habeus              -> habeas
haemorrage          -> haemorrhage
haer                -> hear
halarious           -> hilarious
happend             -> happened
happenned           -> happened
harased             -> harassed
harases             -> harasses
harasment           -> harassment
harassement         -> harassment
harras:             -> harass
harrased            -> harassed
harrases            -> harasses
harrasing           -> harassing
harrasment          -> harassment
harrassed           -> harassed
harrasses           -> harassed
harrassing          -> harassing
harrassment         -> harassment
hatian              -> Haitian
haviest             -> heaviest
headquarer          -> headquarter
headquater          -> headquarter
healthercare        -> healthcare
heared              -> heard
heathy              -> healthy
heigher             -> higher
heigth              -> height
heirarch            -> hierarch
heiroglyphics       -> hieroglyphics
helment             -> helmet
helpfull            -> helpful
helpped             -> helped
hemmorhage          -> hemorrhage
herad               -> heard
heridity            -> heredity
heroe:              -> hero
heros               -> heroes
hertiage            -> heritage
hertzs              -> hertz
hesitaet            -> hesitate
hesistant           -> hesitant
heterogenous        -> heterogeneous
hieght              -> height
hierachical         -> hierarchical
hierachies          -> hierarchies
hierachy            -> hierarchy
hierarcical         -> hierarchical
hierarcy            -> hierarchy
hieroglph           -> hieroglyph
higeine             -> hygiene
higer               -> higher
higest              -> highest
higway              -> highway
hillarious          -> hilarious
himselv             -> himself
hinderance          -> hindrance
hinderence          -> hindrance
hindrence           -> hindrance
hipopotamus         -> hippopotamus
hismelf             -> himself
historicians        -> historians
hitsingles          -> hit singles
hiygeine            -> hygiene
holf                -> hold
holliday            -> holiday
homestate           -> home state
homogeneize         -> homogenize
honory              -> honorary
horrifing           -> horrifying
hosited             -> hoisted
hospitible          -> hospitable
hounour             -> honour
howver              -> however
hsitorians          -> historians
hstory              -> history
htere:              -> there
htey:               -> they
htikn               -> think
htink               -> think
htis:               -> this
humerous            -> humorous
huminoid            -> humanoid
humoural            -> humoral
humurous            -> humorous
hvae:               -> have
hvaing              -> having
hvea:               -> have
hwihc               -> which
hwile               -> while
hwole               -> whole
hydogen             -> hydrogen
hydropile           -> hydrophile
hydropilic          -> hydrophilic
hydropobe           -> hydrophobe
hydropobic          -> hydrophobic
hygeine             -> hygiene
hygene              -> hygiene
hygine              -> hygiene
hyjack              -> hijack
hypocracy           -> hypocrisy
hypocrasy           -> hypocrisy
hypocricy           -> hypocrisy
hypocrit:           -> hypocrite
iamge               -> image
iconclastic         -> iconoclastic
idaeidae            -> idea
idaes               -> ideas
idealogies          -> ideologies
idealogy            -> ideology
identicial          -> identical
identifers          -> identifiers
ideosyncratic       -> idiosyncratic
idiosyncracy        -> idiosyncrasy
ignorence           -> ignorance
illess              -> illness
illution            -> illusion
ilness              -> illness
ilogical            -> illogical
imagenary           -> imaginary
imcomplete          -> incomplete
imediately          -> immediately
imense              -> immense
immediatley         -> immediately
immediatly          -> immediately
immidately          -> immediately
immidiately         -> immediately
immitate            -> imitate
immitating          -> imitating
immitator           -> imitator
impecabbly          -> impeccably
impedence           -> impedance
implamenting        -> implementing
impliment           -> implement
imploys             -> employs
importamt           -> important
impressario         -> impresario
imprioned           -> imprisoned
imprisonned         -> imprisoned
improvision         -> improvisation
improvment          -> improvement
inablility          -> inability
inadiquate          -> inadequate
inadquate           -> inadequate
inadvertant         -> inadvertent
inagurated          -> inaugurated
inaguration         -> inauguration
inaugures           -> inaugurates
inbalance           -> imbalance
incarcirated        -> incarcerated
incidentially       -> incidentally
incidently          -> incidentally
inclreased          -> increased
includ:             -> include
includng            -> including
inclued             -> include
incomptable         -> incompatible
incomptetent        -> incompetent
incoroporated       -> incorporated
incorperation       -> incorporation
incorportaed        -> incorporated
incorprates         -> incorporates
incorruptable       -> incorruptible
incramentally       -> incrementally
increadible         -> incredible
incredable          -> incredible
inctroduce          -> introduce
incuding            -> including
incunabla           -> incunabula
indeces             -> indices
indecies            -> indices
indefineable        -> undefinable
indentical          -> identical
indepedantly        -> independently
indepedence         -> independence
independant         -> independent
independece         -> independence
independendet       -> independent
indespensable       -> indispensable
indespensible       -> indispensable
indicies            -> indices
indictement         -> indictment
indigineous         -> indigenous
indipendence        -> independence
indipendent         -> independent
indispensible       -> indispensable
indisputible        -> indisputable
indisputibly        -> indisputably
indite              -> indict
individualy         -> individually
indpendent          -> independent
indulgue            -> indulge
indutrial           -> industrial
inefficienty        -> inefficiently
inevatible          -> inevitable
inevitible          -> inevitable
inevititably        -> inevitably
infalability        -> infallibility
infallable          -> infallible
infectuous          -> infectious
infered             -> inferred
infilitrate         -> infiltrate
infilitration       -> infiltration
inflamation         -> inflammation
influencial         -> influential
influented          -> influenced
infomation          -> information
informtion          -> information
infrantryman        -> infantryman
infrigement         -> infringement
ingenius            -> ingenious
ingreediants        -> ingredients
inhabitans          -> inhabitants
inherantly          -> inherently
inheritence         -> inheritance
inital              -> initial
initation           -> initiation
initiaitive         -> initiative
inlcuding           -> including
inmigrant           -> immigrant
innoculated         -> inoculated
inocence            -> innocence
inofficial          -> unofficial
inpeach             -> impeach
inpending           -> impending
inpenetrable        -> impenetrable
inpolite            -> impolite
inprisonment        -> imprisonment
inproving           -> improving
insectiverous       -> insectivorous
insensative         -> insensitive
inseperable         -> inseparable
insistance          -> insistence
insitution          -> institution
instade             -> instead
instatance          -> instance
insted              -> instead
institue            -> institute
instuction          -> instruction
instuments          -> instruments
instutionalized     -> institutionalized
insurence           -> insurance
intelectual         -> intellectual
inteligence         -> intelligence
inteligent          -> intelligent
intelligance        -> intelligence
intenational        -> international
intepretation       -> interpretation
intepretator        -> interpretor
interational        -> international
interator           -> iterator
interchangably      -> interchangeably
intercontinetal     -> intercontinental
interelated         -> interrelated
interferance        -> interference
interfereing        -> interfering
intergrated         -> integrated
intergration        -> integration
interm:             -> interim
interpet            -> interpret
interrim            -> interim
interrugum          -> interregnum
intertaining        -> entertaining
interupt            -> interrupt
intervines          -> intervenes
intevene            -> intervene
intial              -> initial
intput              -> input
intrduced           -> introduced
intrest             -> interest
introdued           -> introduced
intruduced          -> introduced
intrument           -> instrument
intrusted           -> entrusted
intutive            -> intuitive
inudstry            -> industry
inventer            -> inventor
invertibrates       -> invertebrates
investingate        -> investigate
invliad             -> invalid
involvment          -> involvement
ioin                -> ion
iresistably         -> irresistibly
iresistible         -> irresistible
iresistibly         -> irresistibly
iritable            -> irritable
iritated            -> irritated
ironicly            -> ironically
irregardless        -> regardless
irreplacable        -> irreplaceable
irresistably        -> irresistibly
issueing            -> issuing
itnroduced          -> introduced
iunior              -> junior
jeapardy            -> jeopardy
jewllery            -> jewellery
jorunal             -> journal
jouney              -> journey
journied            -> journeyed
journies            -> journeys
jstu                -> just
jsut                -> just
judical             -> judicial
judisuary           -> judiciary
juducial            -> judicial
juristiction        -> jurisdiction
kindergarden        -> kindergarten
klenex              -> kleenex
knifes              -> knives
knive:              -> knife
knowlege            -> knowledge
knwo:               -> know
knwon:              -> known
konw:               -> know
konwn:              -> known
kwno:               -> know
kwnon:              -> known
labratory           -> laboratory
laeve               -> leave
laguage             -> language
laparascopic        -> laparoscopic
largst              -> largest
larrry              -> larry
lattitude           -> latitude
launhed             -> launched
lavae               -> larvae
lazyness            -> laziness
lciense             -> license
learnign            -> learning
leathal             -> lethal
lefted              -> left
legitamate          -> legitimate
legitmate           -> legitimate
leibnitz            -> leibniz
lenght              -> length
leutenant           -> lieutenant
levetate            -> levitate
levetating          -> levitating
levle               -> level
liasion             -> liaison
liason              -> liaison
libary              -> library
libell              -> libel
libguistic          -> linguistic
libitarianisn       -> libertarianism
lieing              -> lying
liek                -> like
liesure             -> leisure
lieuenant           -> lieutenant
lieved              -> lived
liftime             -> lifetime
lightyear           -> light year
likelyhood          -> likelihood
likly               -> likely
linnaena            -> linnaean
lippizaner          -> lipizzaner
liquify             -> liquefy
liscense            -> license
lisence             -> license
:lisense            -> license
listner             -> listener
litature            -> literature
literaly            -> literally
literture           -> literature
littel              -> little
litterally          -> literally
liuke               -> like
livley              -> lively
lmits               -> limits
lonelyness          -> loneliness
longitudonal        -> longitudinal
lonley              -> lonely
loonig              -> looking
looses:             -> loses
loosing             -> losing
looup               -> lookup
lotharingen         -> lothringen
lukid               -> likud
mackeral            -> mackerel
macthing            -> matching
magasine            -> magazine
magincian           -> magician
magisine            -> magazine
magizine            -> magazine
magnificient        -> magnificent
magolia             -> magnolia
mailny              -> mainly
maintainance        -> maintenance
maintainence        -> maintenance
maintance           -> maintenance
maintence           -> maintenance
maintenence         -> maintenance
maintinaing         -> maintaining
maintioned          -> mentioned
maintnance          -> maintenance
majoroty            -> majority
makse               -> makes
maltesian           -> Maltese
mamalian            -> mammalian
managable           -> manageable
managment           -> management
manefist            -> manifest
maneouvre           -> manoeuvre
maneouvring         -> manoeuvring
manisfestations     -> manifestations
manoeuverability    -> maneuverability
mantained           -> maintained
manufature          -> manufacture
manufaturing        -> manufacturing
manuver             -> maneuver
mariage             -> marriage
marjority           -> majority
markes              -> marks
marketting          -> marketing
marmelade           -> marmalade
marrage             -> marriage
marraige            -> marriage
marrtyred           -> martyred
marryied            -> married
massmedia           -> mass media
masterbation        -> masturbation
mataphysical        -> metaphysical
materalists         -> materialist
mathamatics         -> mathematics
mathematican        -> mathematician
mathematicas        -> mathematics
matheticians        -> mathematicians
mathmatically       -> mathematically
mathmatician        -> mathematician
mccarthyst          -> mccarthyist
mchanics            -> mechanics
mcuh                -> much
meaing              -> meaning
meaninng            -> meaning
mechandise          -> merchandise
medacine            -> medicine
medeival            -> medieval
medevial            -> medieval
mediciney           -> mediciny
medievel            -> medieval
meerkrat            -> meerkat
melieux             -> milieux
membranaphone       -> membranophone
memeber             -> member
menally             -> mentally
mercentile          -> mercantile
mereg               -> merge
mesage              -> message
messanger           -> messenger
messenging          -> messaging
metalic             -> metallic
metalurgic          -> metallurgic
metalurgy           -> metallurgy
metamorphysis       -> metamorphosis
metaphoricial       -> metaphorical
meterologist        -> meteorologist
meterology          -> meteorology
methaphor           -> metaphor
michagan            -> Michigan
micoscopy           -> microscopy
midwifes            -> midwives
mileau              -> milieu
milennia            -> millennia
milennium           -> millennium
mileu               -> milieu
miliary             -> military
miligram            -> milligram
miliraty            -> military
millenia            -> millennia
millenium           -> millennium
millepede           -> millipede
millioniare         -> millionaire
millitant           -> militant
millitary           -> military
millon              -> million
miltary             -> military
minature            -> miniature
minerial            -> mineral
ministery           -> ministry
minsitry            -> ministry
minstries           -> ministries
minstry             -> ministry
minumum             -> minimum
mirrorred           -> mirrored
miscelaneous        -> miscellaneous
miscellanious       -> miscellaneous
miscellanous        -> miscellaneous
mischeivous         -> mischievous
mischevious         -> mischievous
mischievious        -> mischievous
misdameanor         -> misdemeanor
misfourtunes        -> misfortunes
misile              -> missile
mispell             -> misspell
missen              -> mizzen
missle              -> missile
missonary           -> missionary
misterious          -> mysterious
mistery             -> mystery
mkae                -> make
mkaing              -> making
mkea                -> make
modle               -> model
moent               -> moment
moeny               -> money
moleclues           -> molecules
momento:            -> memento
momentraily         -> momentarily
monestaries         -> monasteries
monickers           -> monikers
monolite            -> monolithic
monserrat           -> Montserrat
montains            -> mountains
montanous           -> mountainous
monts               -> months
montypic            -> monotypic
morgage             -> mortgage
mortage             -> mortgage
mosture             -> moisture
motiviated          -> motivated
mounth              -> month
movei               -> movie
movment             -> movement
mroe                -> more
mucuous             -> mucous
muder               -> murder
multicultralism     -> multiculturalism
multipled           -> multiplied
multiplers          -> multipliers
munbers             -> numbers
muncipalities       -> municipalities
muncipality         -> municipality
munnicipality       -> municipality
muscial             -> musical
muscician           -> musician
mutiliated          -> mutilated
myraid              -> myriad
mysef               -> myself
mysogynist          -> misogynist
mysogyny            -> misogyny
mysterous           -> mysterious
naieve              -> naive
namesapce           -> namespace
namespcae           -> namespace
naturaly            -> naturally
naturely            -> naturally
naturual            -> natural
neccesarily         -> necessarily
neccesary           -> necessary
neccessarily        -> necessarily
neccessary          -> necessary
neccessities        -> necessities
necesarily          -> necessarily
necesary            -> necessary
necessery           -> necessary
necessiate          -> necessitate
neglible            -> negligible
negligable          -> negligible
negociate           -> negotiate
negociation         -> negotiation
negotation          -> negotiation
neice               -> niece
neigborhood         -> neighborhood
neigbour            -> neighbor
neolitic            -> neolithic
nessasarily         -> necessarily
nessecary           -> necessary
neverthless         -> nevertheless
newletters          -> newsletters
nickle              -> nickel
nieghbor            -> neighour
nightime            -> nighttime
nineth              -> ninth
ninteenth           -> nineteenth
ninties             -> 1990s
ninty               -> ninety
nkow                -> know
nkwo                -> know
nmae                -> name
noncombatents       -> noncombatants
nonsence            -> nonsense
nontheless          -> nonetheless
noone               -> no one
norhern             -> northern
northen             -> northern
northereastern      -> northeastern
notabley            -> notably
noteable            -> notable
noteably            -> notably
noteriety           -> notoriety
nothern             -> northern
noticable           -> noticeable
noticably           -> noticeably
noticeing           -> noticing
noticible           -> noticeable
notwhithstanding    -> notwithstanding
noveau              -> nouveau
novermber           -> November
nowdays             -> nowadays
nucular             -> nuclear
nuculear            -> nuclear
nuisanse            -> nuisance
nullabour           -> Nullarbor
numberous           -> numerous
nuremburg           -> Nuremberg
nusance             -> nuisance
nutritent           -> nutrient
nuturing            -> nurturing
oaky                -> okay
obediance           -> obedience
obediant            -> obedient
obession            -> obsession
obssessed           -> obsessed
obstacal            -> obstacle
obstancles          -> obstacles
obstruced           -> obstructed
ocasion             -> occasion
ocassion            -> occasion
occaison            -> occasion
occassion           -> occasion
occationally        -> occasionally
occour              -> occur
occurance           -> occurrence
occured             -> occurred
occurence           -> occurrence
occuring            -> occurring
occurrance          -> occurrence
octohedra           -> octahedra
octohedron          -> octahedron
ocuntries           -> countries
ocurrance           -> occurrence
ocurred             -> occurred
ocurrence           -> occurrence
offcers             -> officers
offcially           -> officially
offereings          -> offerings
offical             -> official
officialy           -> officially
offred              -> offered
oftenly             -> often
omlette             -> omelette
omniverous          -> omnivorous
omre                -> more
openess             -> openness
operaotr            -> operator
oportunity          -> opportunity
oposite             -> opposite
oppenly             -> openly
oppinion            -> opinion
opponant            -> opponent
oppononent          -> opponent
oppositition        -> opposition
oppossed            -> opposed
opprotunity         -> opportunity
opression           -> oppression
opressive           -> oppressive
opthalmologist      -> ophthalmologist
opthamologist       -> ophthalmologist
optmizations        -> optimizations
optomism            -> optimism
organim             -> organism
organistion         -> organisation
organiztion         -> organization
orginal             -> original
orginize            -> organise
oridinarily         -> ordinarily
origanaly           -> originally
originaly           -> originally
originially         -> originally
origional           -> original
orignal             -> original
orignially          -> originally
otherwordly         -> otherworldly
oublisher           -> publisher
ouevre              -> oeuvre
ouptut              -> output
ouput               -> output
oustanding          -> outstanding
outragous           -> outrageous
overide             -> override
overthere           -> over there
overwelming         -> overwhelming
overwheliming       -> overwhelming
ovveride            -> override
owudl               -> would
oxigen              -> oxygen
oximoron            -> oxymoron
paide               -> paid
paitience           -> patience
paleolitic          -> paleolithic
paliamentarian      -> parliamentarian
pallete             -> palette
pamflet             -> pamphlet
pamplet             -> pamphlet
pantomine           -> pantomime
paralel             -> parallel
paranthesis         -> parenthesis
paraphenalia        -> paraphernalia
parellels           -> parallels
parisitic           -> parasitic
parituclar          -> particular
parliment           -> parliament
parralel            -> parallel
parrallel           -> parallel
partialy            -> partially
particually         -> particularly
particualr          -> particular
particuarly         -> particularly
particularily       -> particularly
particulary         -> particularly
pasenger            -> passenger
passerbys           -> passersby
pasttime            -> pastime
pastural            -> pastoral
paticular           -> particular
pattented           -> patented
paturn              -> pattern
patturn             -> pattern
pavillion           -> pavilion
payed               -> paid
pblisher            -> publisher
pbulisher           -> publisher
peacefuland         -> peaceful and
peageant            -> pageant
peaple              -> people
peculure            -> peculiar
pedestrain          -> pedestrian
peformed            -> performed
penatly             -> penalty
penerator           -> penetrator
penisula            -> peninsula
penninsula          -> peninsula
pennisula           -> peninsula
pensinula           -> peninsula
pensle              -> pencil
peolpe              -> people
peopel              -> people
peotry              -> poetry
perade              -> parade
percieve            -> perceive
pereguine           -> peregrine
perenially          -> perennially
peretrator          -> perpetrator
perfomance          -> performance
perfomer            -> performer
performence         -> performance
perhasp             -> perhaps
perheaps            -> perhaps
perhpas             -> perhaps
peristent           -> persistent
perjery             -> perjury
perjorative         -> pejorative
permanant           -> permanent
permenant           -> permanent
permissable         -> permissible
perogative          -> prerogative
peronal             -> personal
perosnality         -> personality
perpertrate         -> perpetrate
perphas             -> perhaps
perpindicular       -> perpendicular
perseverence        -> perseverance
persistance         -> persistence
persistant          -> persistent
personel            -> personnel
persuded            -> persuaded
persue              -> pursue
persuing            -> pursuing
persuit             -> pursuit
pertubation         -> perturbation
pessiary            -> pessary
petetion            -> petition
phenomenom          -> phenomenon
phenomenonly        -> phenomenally
phenomonenon        -> phenomenon
phenomonon          -> phenomenon
phenonmena          -> phenomena
philisopher         -> philosopher
philisophical       -> philosophical
philisophy          -> philosophy
phillosophically    -> philosophically
philospher          -> philosopher
philosphies         -> philosophies
philosphy           -> philosophy
phongraph           -> phonograph
phylosophical       -> philosophical
physicaly           -> physically
piblisher           -> publisher
:pich:              -> pitch
pilgrimmage         -> pilgrimage
pinapple            -> pineapple
pinnaple            -> pineapple
pinoneer            -> pioneer
plaesant            -> pleasant
plagarism           -> plagiarism
plagerize           -> plagiarize
planed              -> planned
plantiff            -> plaintiff
plateu              -> plateau
plausable           -> plausible
playright           -> playwright
playwrite           -> playwright
pleasent            -> pleasant
plebicite           -> plebiscite
plesant             -> pleasant
poenis              -> penis
poeople             -> people
poeple              -> people
poety               -> poetry
poisin              -> poison
poitner             -> pointer
polical             -> political
polinator           -> pollinator
politican           -> politician
poltical            -> political
polute              -> pollute
poluting            -> polluting
polution            -> pollution
polyphonyic         -> polyphonic
polysaccaride       -> polysaccharide
polysaccharid:      -> polysaccharide
pomegranite         -> pomegranate
pomotion            -> promotion
popoulation         -> population
popularaty          -> popularity
populare            -> popular
populer             -> popular
porshan             -> portion
porshon             -> portion
portait             -> portrait
portayed            -> portrayed
portraing           -> portraying
posess              -> possess
posion              -> poison
possable            -> possible
possably            -> possibly
posseses            -> possesses
possesing           -> possessing
possesion           -> possession
possessess          -> possesses
possibile           -> possible
possibilty          -> possibility
possiblility        -> possibility
possiblilty         -> possibility
possiblities        -> possibilities
possiblity          -> possibility
possition           -> position
posthomous          -> posthumous
postion             -> position
postive             -> positive
potatos             -> potatoes
potrait             -> portrait
potray              -> portray
poverful            -> powerful
poweful             -> powerful
practial            -> practical
practicioner        -> practitioner
practicly           -> practically
practioner          -> practitioner
prairy              -> prairie
pramga:             -> pragma
prarie              -> prairie
pratice             -> practice
preample            -> preamble
precedessor         -> predecessor
preceed             -> precede
precentage          -> percentage
precice             -> precise
precisly            -> precisely
precurser           -> precursor
predecesor          -> predecessor
predicatble         -> predictable
predicitons         -> predictions
predomiantly        -> predominately
preferrably         -> preferably
pregancies          -> pregnancies
preiod              -> period
preliferation       -> proliferation
premeire            -> premiere
preminence          -> preeminence
premission          -> permission
preocupation        -> preoccupation
prepair             -> prepare
prepartion          -> preparation
prepatory           -> preparatory
preperation         -> preparation
preriod             -> period
presedential        -> presidential
presense            -> presence
presidenital        -> presidential
presitgious         -> prestigious
prespective         -> perspective
prestigeous         -> prestigious
prestigous          -> prestigious
prestine            -> pristine
presumabely         -> presumably
presumibly          -> presumably
pretection          -> protection
prevelant           -> prevalent
preverse            -> perverse
previos             -> previous
previus             -> previous
previvous           -> previous
pricipal            -> principal
priciple            -> principle
priestood           -> priesthood
primarly            -> primarily
primative           -> primitive
primordal           -> primordial
principaly          -> principality
principial          -> principal
principlaity        -> principality
principly           -> principally
prinicipal          -> principal
privalege           -> privilege
priveledges         -> privileges
privelege           -> privilege
privelige           -> privilege
privelleges         -> privileges
privilage           -> privilege
priviledge          -> privilege
privledge           -> privilege
privte              -> private
probabilaty         -> probability
probablistic        -> probabilistic
probablly           -> probably
probalibity         -> probability
probaly             -> probably
probelm             -> problem
proccess            -> process
procedger           -> procedure
procedings          -> proceedings
proceedure          -> procedure
proces:             -> process
processer           -> processor
proclaimation       -> proclamation
proclamed           -> proclaimed
proclaming          -> proclaiming
proclomation        -> proclamation
proeprty            -> property
profesor            -> professor
professer           -> professor
proffesed           -> professed
proffesion          -> profession
proffesor           -> professor
proffession         -> profession
proffessor          -> professor
profilic            -> prolific
progessed           -> progressed
progidy             -> prodigy
programable         -> programmable
prohabition         -> prohibition
prologomena         -> prolegomena
prominance          -> prominence
prominant           -> prominent
promiscous          -> promiscuous
promotted           -> promoted
pronomial           -> pronominal
pronouced           -> pronounced
pronounched         -> pronounced
pronounciation      -> pronunciation
proove              -> prove
propery             -> property
prophacy            -> prophecy
propietary          -> proprietary
propmted            -> prompted
propoganda          -> propaganda
propogate           -> propagate
propogation         -> propagation
propotions          -> proportions
propper             -> proper
proprietory         -> proprietary
proseletyzing       -> proselytizing
protaganist         -> protagonist
protocal            -> protocol
protoganist         -> protagonist
protrayed           -> portrayed
protruberance       -> protuberance
prouncements        -> pronouncements
provacative         -> provocative
provded             -> provided
provicial           -> provincial
provinicial         -> provincial
provisiosn          -> provision
provisonal          -> provisional
proximty            -> proximity
pseudononymous      -> pseudonymous
pseudonyn           -> pseudonym
psuedo              -> pseudo
psycology           -> psychology
psyhic              -> psychic
pubilsher           -> publisher
pubisher            -> publisher
publiaher           -> publisher
publically          -> publicly
publicaly           -> publicly
publicher           -> publisher
publihser           -> publisher
publisehr           -> publisher
publiser            -> publisher
publisger           -> publisher
publisheed          -> published
publisherr          -> publisher
publishher          -> publisher
publishor           -> publisher
publishre           -> publisher
publissher          -> publisher
publlisher          -> publisher
publsiher           -> publisher
publusher           -> publisher
puchasing           -> purchasing
pulisher            -> publisher
pumkin              -> pumpkin
puplisher           -> publisher
puritannical        -> puritanical
purposedly          -> purposely
purpotedly          -> purportedly
pursuade            -> persuade
pususading          -> persuading
:puting             -> putting
pwoer               -> power
pyscic              -> psychic
quantaty            -> quantity
quantitiy           -> quantity
quarantaine         -> quarantine
quarentine          -> quarantine
quesion             -> question
questin:            -> question
queston             -> question
quicklyu            -> quickly
quinessential       -> quintessential
quizes              -> equizzes
raelly              -> really
reaccurring         -> recurring
reacing             -> reaching
reacll              -> recall
realitvely          -> relatively
realsitic           -> realistic
realtion            -> relation
realy:              -> really
realyl              -> really
reasearch           -> research
rebiulding          -> rebuilding
rebllions           -> rebellions
reccomend           -> recommend
reccommend          -> recommend
reccuring           -> recurring
receeded            -> receded
receeding           -> receding
receiev             -> receiv
recepient           -> recipient
receving            -> receiving
rechargable         -> rechargeable
reched              -> reached
recide              -> reside
reciding            -> residing
reciepents          -> recipients
reciept             -> receipt
recieve             -> receive
recieving           -> receiving
recipiant           -> recipient
recived             -> received
recivership         -> receivership
recogise            -> recognise
recogize            -> recognize
recomend            -> recommend
recompence          -> recompense
reconaissance       -> reconnaissance
reconcilation       -> reconciliation
reconized           -> recognized
reconnaisance       -> reconnaissance
reconnaissence      -> reconnaissance
recquired           -> required
recrational         -> recreational
recrod              -> record
recuiting           -> recruiting
recuring            -> recurring
recurrance          -> recurrence
rediculous          -> ridiculous
reedeming           -> redeeming
reenforced          -> reinforced
refedendum          -> referendum
referal             -> referral
referece            -> reference
refered             -> referred
referemce           -> reference
referencs           -> references
referenece          -> reference
referiang           -> referring
refering            -> referring
refernce            -> reference
referrence          -> reference
referrs             -> refers
reffered            -> referred
refference          -> reference
reffering           -> referring
refrence            -> reference
refrers             -> refers
refridgeration      -> refrigeration
refridgerator       -> refrigerator
refromist           -> reformist
refusla             -> refusal
regads              -> Regards
regars              -> Regards
regrds              -> Regards
regardes            -> regards
regrads             -> Regards
regluar             -> regular
reguarly            -> regularly
regulaion           -> regulation
regulaotrs          -> regulators
regularily          -> regularly
rehersal            -> rehearsal
reicarnation        -> reincarnation
reigining           -> reigning
reknown             -> renown
rela:               -> real
relaly              -> really
relatiopnship       -> relationship
relativly           -> relatively
releated            -> related
relected            -> reelected
releive             -> relieve
releses             -> releases
